"YEAR","SEMESTER","COURSECODE","COURSENAME","SECTION","ROWSEQ","TEACHTYPE","DAY1","DAY2","DAY3","DAY4","DAY5","DAY6","DAY7","STARTTIME","ENDTIME","BUILDING","ROOM","STUDYPROGRAMSYSTEM","GENEDSTATUS","GENERALSUBJECT","LECTURECREDIT","NONLECTURECREDIT","TOTALCREDIT","REALREG","TOTALREG","REMARK1","REMARK2","REMARK3","FACCODE"
"2017","1","2101829","DISSERTATION","6","6","IDPS","IA","","","","","","","IA  ","IA  ","CE   ","IA   ","S","N","    ",".000","60.000","60.000","1","1"," "," "," ","21"
"2017","1","2101829","DISSERTATION","8","8","IDPS","IA","","","","","","","IA  ","IA  ","CE   ","IA   ","S","N","    ",".000","60.000","60.000","0","1"," "," "," ","21"
"2017","1","2101829","DISSERTATION","10","10","IDPS","IA","","","","","","","IA  ","IA  ","CE   ","IA   ","S","N","    ",".000","60.000","60.000","0","1"," "," "," ","21"
"2017","1","2101829","DISSERTATION","12","12","IDPS","IA","","","","","","","IA  ","IA  ","CE   ","IA   ","S","N","    ",".000","60.000","60.000","0","1"," "," "," ","21"
"2017","1","2101829","DISSERTATION","14","14","IDPS","IA","","","","","","","IA  ","IA  ","CE   ","IA   ","S","N","    ",".000","60.000","60.000","1","1"," "," "," ","21"
"2017","1","2101829","DISSERTATION","16","16","IDPS","IA","","","","","","","IA  ","IA  ","CE   ","IA   ","S","N","    ",".000","60.000","60.000","0","1"," "," "," ","21"
"2017","1","2101829","DISSERTATION","18","18","IDPS","IA","","","","","","","IA  ","IA  ","CE   ","IA   ","S","N","    ",".000","60.000","60.000","0","1"," "," "," ","21"
"2017","1","2101829","DISSERTATION","20","20","IDPS","IA","","","","","","","IA  ","IA  ","CE   ","IA   ","S","N","    ",".000","60.000","60.000","0","1"," "," "," ","21"
"2024","2","2101307","RC DESIGN","3","6","STU","TH","","","","","","","1330","1630","CE   ","207  ","S","N","    ","3.000","1.000","4.000","15","13","","","","21"
"2021","1","2110814","THESIS","1","1","IDPS","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","S","N","    ",".000","24.000","24.000","23","30"," "," "," ","21"
"2019","1","2190443","USER INT DSGN","1","1","LECT","MO","","","","","","","1300","1600","EN100","405  ","S","N","    ","3.000",".000","3.000","1","1","","","","21"
"2019","2","2103232","MECH OF MAT","1","1","LECT","MO","WE","","","","","","0930","1100","EN100","201B ","S","N","    ","3.000",".000","3.000","55","55","2ME, 2AE","","","21"
"2019","2","2105428","AGRI WASTE WEALTH","1","1","LECT","TU","","","","","","","0930","1230","AR   ","AR   ","S","N","    ","3.000",".000","3.000","32","30","","","","21"
"2019","1","2145211","INTRO AERO ENG","1","1","LECT","TU","TH","","","","","","1330","1500","ENG2 ","304/1","S","N","    ","3.000",".000","3.000","1","5","","","","21"
"2019","1","2101799","BIEM APP MECH","1","1","LECT","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","S","N","    ","3.000",".000","3.000","1","15","","","","21"
"2018","3","2111831","DISSERTATION","1","1","IDPS","TH","","","","","","","IA  ","IA  ","NT   ","206  ","S","N","    ",".000","49.000","49.000","1","1"," "," "," ","21"
