"STUDENTCODE","COURSECODENO","FACCODE","FACULTYGROUP","DEPCODE","MAJORCODE","PROGRAM","STUDYPROGRAMSYSTEM","PROJECT","STARTACADYEAR","STARTSEMESTER","MAXPERIOD","MINPERIOD","CREDITTOT","FACNAME","DEPNAME","MAJORNAME","FACNAMEENG","DEPNAMEENG","MAJORNAMEENG","UPDATEDATE"
"6630200921","4777","21","1","2103","21031","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมยานยนต์                                                       ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Automotive Engineering                                                ","13/01/2025 10:21:33"
"6630202121","4777","21","1","2103","21031","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมยานยนต์                                                       ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Automotive Engineering                                                ","16/08/2024 14:04:18"
"6633176021","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:07"
"6633178321","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:07"
"6633180521","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:07"
"6633182821","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:07"
"6633184021","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:08"
"6633186321","4853","21","1","2110","21104","3"," ","21C","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:08"
"6633188621","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:08"
"6633190821","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:08"
"6633192021","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:08"
"6633194321","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:08"
"6633196621","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:09"
"6633202721","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:09"
"6633204021","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:09"
"6633206221","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:09"
"6633208521","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:10"
"6633210721","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:10"
"6633212021","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:10"
"6633214221","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:10"
"6633216521","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:10"
"6633218821","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:10"
"6633220021","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:11"
"6633222221","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:11"
"6633224521","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:11"
"6633226821","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:11"
"6633228021","4853","21","1","2110","21104","3"," ","21C","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:11"
"6633230221","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:12"
"6670179021","4242","21","1","2110","21101","5"," ","212","2023","1","8","2","36","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิทยาศาสตร์คอมพิวเตอร์                                                ","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Science                                                      ","30/06/2023 07:33:32"
"6670187021","4020","21","1","2104","21040","5"," ","201","2023","1","8","2","36","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมอุตสาหการ","วิศวกรรมอุตสาหการ                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF INDUSTRIAL ENGINEERING","Industrial Engineering                                                ","30/06/2023 07:33:33"
"6670205621","3912","21","1","2105","21050","5"," ","201","2023","1","8","2","36","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเคมี","วิศวกรรมเคมี                                                          ","FACULTY OF ENGINEERING","DEPARTMENT OF CHEMICAL ENGINEERING","Chemical Engineering                                                  ","31/08/2023 10:05:37"
"6670216521","3970","21","1","2109","21091","5"," ","201","2023","1","8","2","36","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมโลหการ","วิศวกรรมโลหการและวัสดุ                                                ","FACULTY OF ENGINEERING","DEPARTMENT OF METALLURGICAL ENGINEERING","Metallurgical and Materials Engineering                               ","30/06/2023 07:33:36"
"6670221621","3970","21","1","2109","21091","5"," ","201","2023","1","8","2","36","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมโลหการ","วิศวกรรมโลหการและวัสดุ                                                ","FACULTY OF ENGINEERING","DEPARTMENT OF METALLURGICAL ENGINEERING","Metallurgical and Materials Engineering                               ","30/06/2023 07:33:36"
"6670225121","4269","21","1","2107","21070","5"," ","201","2023","1","8","2","36","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมสิ่งแวดล้อมและความยั่งยืน","วิศวกรรมสิ่งแวดล้อม                                                   ","FACULTY OF ENGINEERING","DEPARTMENT OF ENVIRONMENTAL AND SUSTAINABLE ENGINEERING","Environmental Engineering                                             ","30/06/2023 07:33:37"
"6670229721","4242","21","1","2110","21101","5"," ","201","2023","1","8","2","36","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิทยาศาสตร์คอมพิวเตอร์                                                ","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Science                                                      ","30/06/2023 07:33:37"
"6630203821","4785","21","1","2102","21020","3"," ","021","2023","1","16","7","132","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้า                                                         ","FACULTY OF ENGINEERING","DEPARTMENT OF ELECTRICAL ENGINEERING","Electrical Engineering                                                ","09/08/2024 17:45:02"
"6630205021","4850","21","1","2104","21040","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมอุตสาหการ","วิศวกรรมอุตสาหการ                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF INDUSTRIAL ENGINEERING","Industrial Engineering                                                ","13/08/2024 16:39:11"
"6630207321","4784","21","1","2110","21100","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์                                                   ","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering                                                  ","02/08/2024 16:05:10"
"6630210121","4850","21","1","2104","21040","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมอุตสาหการ","วิศวกรรมอุตสาหการ                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF INDUSTRIAL ENGINEERING","Industrial Engineering                                                ","13/08/2024 16:39:11"
"6630212421","4785","21","1","2102","21020","3"," ","021","2023","1","16","7","132","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้า                                                         ","FACULTY OF ENGINEERING","DEPARTMENT OF ELECTRICAL ENGINEERING","Electrical Engineering                                                ","09/08/2024 16:57:13"
"6630214721","4785","21","1","2102","21020","3"," ","021","2023","1","16","7","132","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้า                                                         ","FACULTY OF ENGINEERING","DEPARTMENT OF ELECTRICAL ENGINEERING","Electrical Engineering                                                ","09/08/2024 10:34:02"
"6630216021","4777","21","1","2103","21031","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมยานยนต์                                                       ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Automotive Engineering                                                ","07/11/2024 16:17:08"
"6630218221","4776","21","1","2103","21030","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมเครื่องกล                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Mechanical Engineering                                                ","15/08/2024 17:10:43"
"6630220421","4776","21","1","2103","21030","3"," ","051","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมเครื่องกล                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Mechanical Engineering                                                ","15/08/2024 17:21:14"
"6630222721","4785","21","1","2102","21020","3"," ","021","2023","1","16","7","132","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้า                                                         ","FACULTY OF ENGINEERING","DEPARTMENT OF ELECTRICAL ENGINEERING","Electrical Engineering                                                ","09/08/2024 17:45:03"
"6630224021","4850","21","1","2104","21040","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมอุตสาหการ","วิศวกรรมอุตสาหการ                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF INDUSTRIAL ENGINEERING","Industrial Engineering                                                ","13/08/2024 16:39:11"
"6630226221","4780","21","1","2107","21070","3"," ","051","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมสิ่งแวดล้อมและความยั่งยืน","วิศวกรรมสิ่งแวดล้อม                                                   ","FACULTY OF ENGINEERING","DEPARTMENT OF ENVIRONMENTAL AND SUSTAINABLE ENGINEERING","Environmental Engineering                                             ","16/08/2024 14:46:28"
"6630228521","4785","21","1","2102","21020","3"," ","021","2023","1","16","7","132","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้า                                                         ","FACULTY OF ENGINEERING","DEPARTMENT OF ELECTRICAL ENGINEERING","Electrical Engineering                                                ","09/08/2024 17:45:03"
"6630230721","4781","21","1","2109","21091","3"," ","21C","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมโลหการ","วิศวกรรมโลหการและวัสดุ                                                ","FACULTY OF ENGINEERING","DEPARTMENT OF METALLURGICAL ENGINEERING","Metallurgical and Materials Engineering                               ","16/08/2024 14:49:02"
"6630233621","4785","21","1","2102","21020","3"," ","021","2023","1","16","7","132","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้า                                                         ","FACULTY OF ENGINEERING","DEPARTMENT OF ELECTRICAL ENGINEERING","Electrical Engineering                                                ","09/08/2024 16:57:13"
