"STUDENTCODE","COURSECODENO","FACCODE","FACULTYGROUP","DEPCODE","MAJORCODE","PROGRAM","STUDYPROGRAMSYSTEM","PROJECT","STARTACADYEAR","STARTSEMESTER","MAXPERIOD","MINPERIOD","CREDITTOT","FACNAME","DEPNAME","MAJORNAME","FACNAMEENG","DEPNAMEENG","MAJORNAMEENG","UPDATEDATE"
"6630235921","4776","21","1","2103","21030","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมเครื่องกล                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Mechanical Engineering                                                ","15/08/2024 17:21:14"
"6630237121","4784","21","1","2110","21100","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์                                                   ","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering                                                  ","02/08/2024 16:05:10"
"6630240021","4850","21","1","2104","21040","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมอุตสาหการ","วิศวกรรมอุตสาหการ                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF INDUSTRIAL ENGINEERING","Industrial Engineering                                                ","13/08/2024 16:39:11"
"6630242221","4776","21","1","2103","21030","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมเครื่องกล                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Mechanical Engineering                                                ","15/08/2024 17:21:14"
"6630244521","4850","21","1","2104","21040","3"," ","021","2023","1","16","7","138","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมอุตสาหการ","วิศวกรรมอุตสาหการ                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF INDUSTRIAL ENGINEERING","Industrial Engineering                                                ","13/08/2024 16:39:11"
"6630246821","4068","21","1","2105","21050","3"," ","021","2023","1","16","7","142","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเคมี","วิศวกรรมเคมี                                                          ","FACULTY OF ENGINEERING","DEPARTMENT OF CHEMICAL ENGINEERING","Chemical Engineering                                                  ","13/08/2024 17:04:09"
"6630248021","4785","21","1","2102","21020","3"," ","021","2023","1","16","7","132","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้า                                                         ","FACULTY OF ENGINEERING","DEPARTMENT OF ELECTRICAL ENGINEERING","Electrical Engineering                                                ","09/08/2024 16:57:13"
"6630250221","4785","21","1","2102","21020","3"," ","021","2023","1","16","7","132","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้า                                                         ","FACULTY OF ENGINEERING","DEPARTMENT OF ELECTRICAL ENGINEERING","Electrical Engineering                                                ","09/08/2024 16:57:13"
"6633274921","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:16"
"6633276121","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:16"
"6633278421","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:16"
"6633280621","4853","21","1","2110","21104","3"," ","21E","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:16"
"6633282921","4853","21","1","2110","21104","3"," ","021","2023","1","16","2","124","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมคอมพิวเตอร์","วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล","FACULTY OF ENGINEERING","DEPARTMENT OF COMPUTER ENGINEERING","Computer Engineering and Digital Technology","28/06/2023 09:23:16"
