"PERSONNEL_ID","BEGIN_DATE","END_DATE","EDUCATION_LEVEL_ID","EDUCATION_LEVEL_NAME","INSTITUTION_ID","INSTITUTION_NAME","MAJOR_ID","MAJOR_NAME","DEGREE_ID","DEGREE_NAME","NATION_ID","NATION_NAME_TH","DISTINCTION_ID","DISTINCTION_NAME","HIGHEST_EDUCATION","HIGHEST_EDUCATION_TH","EMPLOY_EDUCATION_ID","EMPLOY_EDUCATION_NAME","GRADUATE_DATE"
"00036074","19890601","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000871","วิศวกรรมเคมี","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19930316"
"00036074","20030116","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000881","University of Wisconsin-Madison","10000146","Chemical Engineeing","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99998","ปรับวุฒิ","20030518"
"10017086","","99991231","D1","ปริญญาตรี/เทียบเท่า","1200000890","Univesity of Michigan","10000322","Electrical Engineering","10048","Bachelor of Engineering","US","USA"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20050428"
"10017086","","99991231","F1","ปริญญาโท/เทียบเท่า","1200000705","University of California at Berkeley","10000213","Computer Science","10503","Master of Science","US","USA"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20070518"
"10017086","","99991231","D1","ปริญญาตรี/เทียบเท่า","1200000890","Univesity of Michigan","10000213","Computer Science","10048","Bachelor of Engineering","US","USA"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20050428"
"10017086","","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000705","University of California at Berkeley","10000213","Computer Science","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20101217"
"10011743","20010604","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000008","มหาวิทยาลัยกรุงเทพ","20000284","โฆษณา","20037","นิเทศศาสตรบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20050227"
"10016878","19830111","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000883","วิศวกรรมโยธา","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19870101"
"10016878","19890101","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000852","University of Tokyo","10000172","Civil Engineering","10297","Doctor of Engineering","JP","Japan"," "," ","X","ใช่","99998","ปรับวุฒิ","19920101"
"10016878","19870101","99991231","F1","ปริญญาโท/เทียบเท่า","1200000852","University of Tokyo","10000172","Civil Engineering","10461","Master of Engineering","JP","Japan"," "," "," ","ไม่","99998","ปรับวุฒิ","19890101"
